lat,lev,amp_t,phase_t,amp_e,phase_e,amp_n,phase_n
84,77.323,0.11,21.2,0.42,2.3,0.91,18.5
78,77.323,0.29,23,0.79,3.5,1.17,20.3
72,77.323,0.67,23.3,1.57,2.9,1.63,20.9
66,77.323,1.56,23,3.66,2.3,2.46,20.7
60,77.323,3.53,22.9,8.07,2.4,4,20.4
54,77.323,7.07,23,15.46,2.5,6.24,20.4
48,77.323,12.81,22.9,27.21,2.4,8.86,20.4
42,77.323,22.16,22.8,46.77,2.3,11.88,20.4
36,77.323,35.41,22.8,74.32,2.3,14.98,20.3
30,77.323,52.88,22.7,110.44,2.2,17.34,20.3
24,77.323,73.64,22.7,153.69,2.2,18.27,20.3
18,77.323,95.38,22.6,198.87,2.2,17.05,20.3
12,77.323,114.91,22.6,239.53,2.1,13.31,20.3
6,77.323,128.53,22.6,267.97,2.1,7.33,20.3
0,77.323,133.44,22.6,278.16,2.1,0,19.6
-6,77.323,128.53,22.6,267.97,2.1,7.33,8.3
-12,77.323,114.91,22.6,239.53,2.1,13.31,8.3
-18,77.323,95.38,22.6,198.87,2.2,17.05,8.3
-24,77.323,73.64,22.7,153.69,2.2,18.27,8.3
-30,77.323,52.88,22.7,110.44,2.2,17.34,8.3
-36,77.323,35.41,22.8,74.32,2.3,14.98,8.3
-42,77.323,22.16,22.8,46.77,2.3,11.88,8.4
-48,77.323,12.81,22.9,27.21,2.4,8.86,8.4
-54,77.323,7.07,23,15.46,2.5,6.24,8.4
-60,77.323,3.53,22.9,8.07,2.4,4,8.4
-66,77.323,1.56,23,3.66,2.3,2.46,8.7
-72,77.323,0.67,23.3,1.57,2.9,1.63,8.9
-78,77.323,0.29,23,0.79,3.5,1.17,8.3
-84,77.323,0.11,21.2,0.42,2.3,0.91,6.5
84,81.382,0.15,19.8,0.59,0.6,1.26,16.8
78,81.382,0.41,21.6,1.11,1.7,1.63,18.6
72,81.382,0.93,21.8,2.19,1.1,2.26,19.1
66,81.382,2.2,21.5,5.19,0.5,3.44,18.9
60,81.382,4.98,21.5,11.41,0.6,5.61,18.7
54,81.382,9.92,21.5,21.75,0.7,8.71,18.7
48,81.382,17.98,21.4,38.33,0.6,12.35,18.7
42,81.382,31.03,21.4,65.81,0.5,16.56,18.6
36,81.382,49.51,21.3,104.26,0.5,20.87,18.6
30,81.382,73.86,21.3,154.81,0.4,24.17,18.5
24,81.382,102.75,21.2,215.14,0.3,25.49,18.5
18,81.382,133,21.2,278.13,0.3,23.81,18.5
12,81.382,160.14,21.1,334.82,0.3,18.59,18.4
6,81.382,179.06,21.1,374.41,0.3,10.24,18.4
0,81.382,185.88,21.1,388.62,0.3,0,16.5
-6,81.382,179.06,21.1,374.41,0.3,10.24,6.4
-12,81.382,160.14,21.1,334.82,0.3,18.59,6.4
-18,81.382,133,21.2,278.13,0.3,23.81,6.5
-24,81.382,102.75,21.2,215.14,0.3,25.49,6.5
-30,81.382,73.86,21.3,154.81,0.4,24.17,6.5
-36,81.382,49.51,21.3,104.26,0.5,20.87,6.6
-42,81.382,31.03,21.4,65.81,0.5,16.56,6.6
-48,81.382,17.98,21.4,38.33,0.6,12.35,6.7
-54,81.382,9.92,21.5,21.75,0.7,8.71,6.7
-60,81.382,4.98,21.5,11.41,0.6,5.61,6.7
-66,81.382,2.2,21.5,5.19,0.5,3.44,6.9
-72,81.382,0.93,21.8,2.19,1.1,2.26,7.1
-78,81.382,0.41,21.6,1.11,1.7,1.63,6.6
-84,81.382,0.15,19.8,0.59,0.6,1.26,4.8
84,85.528,0.2,18.4,0.84,22.9,1.81,15.1
78,85.528,0.55,20.2,1.61,0,2.35,16.9
72,85.528,1.28,20.4,3.2,23.4,3.28,17.4
66,85.528,3.03,20.1,7.64,22.8,5.02,17.2
60,85.528,6.86,20,16.79,22.9,8.21,17
54,85.528,13.61,20.1,31.85,23,12.71,17
48,85.528,24.72,20,56.32,22.9,18,17
42,85.528,42.61,19.9,96.63,22.8,24.11,16.9
36,85.528,67.93,19.9,152.91,22.7,30.31,16.9
30,85.528,101.29,19.8,227.07,22.7,34.98,16.8
24,85.528,140.77,19.8,315.19,22.6,36.78,16.8
18,85.528,182.09,19.7,407.12,22.6,34.2,16.7
12,85.528,219.1,19.7,489.65,22.5,26.61,16.7
6,85.528,244.88,19.7,547.13,22.5,14.62,16.6
0,85.528,254.16,19.7,567.79,22.5,0,13.2
-6,85.528,244.88,19.7,547.13,22.5,14.62,4.6
-12,85.528,219.1,19.7,489.65,22.5,26.61,4.7
-18,85.528,182.09,19.7,407.12,22.6,34.2,4.7
-24,85.528,140.77,19.8,315.19,22.6,36.78,4.8
-30,85.528,101.29,19.8,227.07,22.7,34.98,4.8
-36,85.528,67.93,19.9,152.91,22.7,30.31,4.9
-42,85.528,42.61,19.9,96.63,22.8,24.11,4.9
-48,85.528,24.72,20,56.32,22.9,18,5
-54,85.528,13.61,20.1,31.85,23,12.71,5
-60,85.528,6.86,20,16.79,22.9,8.21,5
-66,85.528,3.03,20.1,7.64,22.8,5.02,5.2
-72,85.528,1.28,20.4,3.2,23.4,3.28,5.4
-78,85.528,0.55,20.2,1.61,0,2.35,4.9
-84,85.528,0.2,18.4,0.84,22.9,1.81,3.1
84,89.587,0.25,16.9,1.2,21.4,2.58,13.6
78,89.587,0.72,18.7,2.3,22.5,3.35,15.4
72,89.587,1.67,18.9,4.62,21.8,4.7,15.9
66,89.587,3.98,18.6,11.08,21.3,7.24,15.7
60,89.587,9,18.5,24.3,21.4,11.88,15.5
54,89.587,17.83,18.6,45.95,21.4,18.36,15.5
48,89.587,32.42,18.5,81.52,21.3,25.99,15.5
42,89.587,55.83,18.4,139.79,21.2,34.81,15.4
36,89.587,88.96,18.4,221.16,21.2,43.65,15.4
30,89.587,132.59,18.3,328.59,21.1,50.26,15.3
24,89.587,184.13,18.3,455.93,21.1,52.7,15.3
18,89.587,238.03,18.2,588.89,21,48.86,15.3
12,89.587,286.23,18.2,708.14,21,37.95,15.2
6,89.587,319.8,18.2,791.15,21,20.81,15.2
0,89.587,331.87,18.2,821.03,21,0,10
-6,89.587,319.8,18.2,791.15,21,20.81,3.2
-12,89.587,286.23,18.2,708.14,21,37.95,3.2
-18,89.587,238.03,18.2,588.89,21,48.86,3.3
-24,89.587,184.13,18.3,455.93,21.1,52.7,3.3
-30,89.587,132.59,18.3,328.59,21.1,50.26,3.3
-36,89.587,88.96,18.4,221.16,21.2,43.65,3.4
-42,89.587,55.83,18.4,139.79,21.2,34.81,3.4
-48,89.587,32.42,18.5,81.52,21.3,25.99,3.5
-54,89.587,17.83,18.6,45.95,21.4,18.36,3.5
-60,89.587,9,18.5,24.3,21.4,11.88,3.5
-66,89.587,3.98,18.6,11.08,21.3,7.24,3.7
-72,89.587,1.67,18.9,4.62,21.8,4.7,3.9
-78,89.587,0.72,18.7,2.3,22.5,3.35,3.4
-84,89.587,0.25,16.9,1.2,21.4,2.58,1.6
84,93.768,0.34,15.2,1.69,19.9,3.62,12.1
78,93.768,0.96,17,3.24,21,4.73,13.9
72,93.768,2.24,17.2,6.56,20.3,6.67,14.4
66,93.768,5.34,16.9,15.79,19.8,10.32,14.2
60,93.768,12.06,16.8,34.55,19.9,16.97,14
54,93.768,23.84,16.8,65.15,19.9,26.19,14
48,93.768,43.33,16.7,115.88,19.8,37.08,14
42,93.768,74.53,16.7,198.48,19.7,49.68,14
36,93.768,118.72,16.6,313.97,19.6,62.21,13.9
30,93.768,176.94,16.5,466.73,19.6,71.61,13.9
24,93.768,245.75,16.5,647.53,19.5,75.03,13.9
18,93.768,317.8,16.4,836.68,19.5,69.52,13.8
12,93.768,382.24,16.4,1006.27,19.5,53.98,13.8
6,93.768,427.16,16.4,1124.38,19.4,29.59,13.8
0,93.768,443.32,16.4,1166.93,19.4,0,6.6
-6,93.768,427.16,16.4,1124.38,19.4,29.59,1.8
-12,93.768,382.24,16.4,1006.27,19.5,53.98,1.8
-18,93.768,317.8,16.4,836.68,19.5,69.52,1.8
-24,93.768,245.75,16.5,647.53,19.5,75.03,1.9
-30,93.768,176.94,16.5,466.73,19.6,71.61,1.9
-36,93.768,118.72,16.6,313.97,19.6,62.21,1.9
-42,93.768,74.53,16.7,198.48,19.7,49.68,2
-48,93.768,43.33,16.7,115.88,19.8,37.08,2
-54,93.768,23.84,16.8,65.15,19.9,26.19,2
-60,93.768,12.06,16.8,34.55,19.9,16.97,2
-66,93.768,5.34,16.9,15.79,19.8,10.32,2.2
-72,93.768,2.24,17.2,6.56,20.3,6.67,2.4
-78,93.768,0.96,17,3.24,21,4.73,1.9
-84,97.892,0.34,15.2,1.69,19.9,3.62,0.1
84,97.892,0.5,13.3,2.36,18.3,5.08,10.5
78,97.892,1.41,15,4.53,19.4,6.63,12.3
72,97.892,3.26,15.2,9.19,18.7,9.36,12.8
66,97.892,7.7,14.9,22.09,18.2,14.54,12.6
60,97.892,17.35,14.8,48.18,18.3,23.88,12.4
54,97.892,34.18,14.8,90.58,18.3,36.8,12.4
48,97.892,62.03,14.7,161.13,18.1,52.14,12.4
42,97.892,106.59,14.6,275.47,18.1,69.89,12.3
36,97.892,169.88,14.5,435.65,18,87.52,12.3
30,97.892,253.49,14.5,647.78,17.9,100.81,12.3
24,97.892,352.64,14.4,898.73,17.9,105.66,12.2
18,97.892,456.86,14.4,1161.74,17.8,97.91,12.2
12,97.892,550.35,14.3,1397.5,17.8,76.03,12.2
6,97.892,615.68,14.3,1561.82,17.8,41.68,12.2
0,97.892,639.21,14.3,1621.04,17.8,0,3.2
-6,97.892,615.68,14.3,1561.82,17.8,41.68,0.2
-12,97.892,550.35,14.3,1397.5,17.8,76.03,0.2
-18,97.892,456.86,14.4,1161.74,17.8,97.91,0.2
-24,97.892,352.64,14.4,898.73,17.9,105.66,0.2
-30,97.892,253.49,14.5,647.78,17.9,100.81,0.3
-36,97.892,169.88,14.5,435.65,18,87.52,0.3
-42,97.892,106.59,14.6,275.47,18.1,69.89,0.3
-48,97.892,62.03,14.7,161.13,18.1,52.14,0.4
-54,97.892,34.18,14.8,90.58,18.3,36.8,0.4
-60,97.892,17.35,14.8,48.18,18.3,23.88,0.4
-66,97.892,7.7,14.9,22.09,18.2,14.54,0.6
-72,97.892,3.26,15.2,9.19,18.7,9.36,0.8
-78,97.892,1.41,15,4.53,19.4,6.63,0.3
-84,97.892,0.5,13.3,2.36,18.3,5.08,22.5
84,101.971,0.85,11.4,3.42,16.5,7.5,8.7
78,101.971,2.28,13,6.48,17.6,9.61,10.5
72,101.971,5.11,13.2,13.04,16.9,13.5,11
66,101.971,11.88,12.8,31.1,16.4,20.87,10.8
60,101.971,26.75,12.7,67.65,16.4,34.13,10.6
54,101.971,52.56,12.7,126.76,16.5,52.55,10.6
48,101.971,95.17,12.5,225,16.3,74.57,10.6
42,101.971,163.55,12.4,383.96,16.2,99.96,10.5
36,101.971,261.13,12.3,607.76,16.1,125.19,10.5
30,101.971,390.68,12.2,905.24,16,144.39,10.5
24,101.971,545.28,12.1,1258.67,16,151.5,10.5
18,101.971,708.84,12.1,1631.43,15.9,140.6,10.4
12,101.971,856.41,12,1967.06,15.9,109.34,10.4
6,101.971,960,12,2201.98,15.9,59.99,10.4
0,101.971,997.39,12,2286.82,15.9,0,23.6
-6,101.971,960,12,2201.98,15.9,59.99,22.4
-12,101.971,856.41,12,1967.06,15.9,109.34,22.4
-18,101.971,708.84,12.1,1631.43,15.9,140.6,22.4
-24,101.971,545.28,12.1,1258.67,16,151.5,22.5
-30,101.971,390.68,12.2,905.24,16,144.39,22.5
-36,101.971,261.13,12.3,607.76,16.1,125.19,22.5
-42,101.971,163.55,12.4,383.96,16.2,99.96,22.5
-48,101.971,95.17,12.5,225,16.3,74.57,22.6
-54,101.971,52.56,12.7,126.76,16.5,52.55,22.6
-60,101.971,26.75,12.7,67.65,16.4,34.13,22.6
-66,101.971,11.88,12.8,31.1,16.4,20.87,22.8
-72,101.971,5.11,13.2,13.04,16.9,13.5,23
-78,101.971,2.28,13,6.48,17.6,9.61,22.5
-84,101.971,0.85,11.4,3.42,16.5,7.5,20.7
84,106.016,1.64,9.3,5.33,14.5,12.14,6.7
78,106.016,3.98,10.8,9.77,15.8,14.87,8.5
72,106.016,8.24,11.1,18.96,15.1,20.44,9.1
66,106.016,18.34,10.6,44.31,14.5,31.16,8.9
60,106.016,41.14,10.5,96.32,14.5,50.66,8.7
54,106.016,80.67,10.4,179.85,14.5,78.3,8.7
48,106.016,145.51,10.2,317.09,14.3,111.94,8.7
42,106.016,250.53,10.1,539.71,14.1,151.19,8.7
36,106.016,402.07,9.9,856,14,191.35,8.7
30,106.016,605.83,9.8,1279.63,13.9,223.83,8.7
24,106.016,852.51,9.6,1788.38,13.8,238.49,8.7
18,106.016,1117.07,9.5,2331.48,13.7,224.73,8.7
12,106.016,1358.49,9.5,2825.27,13.7,177.03,8.7
6,106.016,1529.33,9.4,3173.73,13.6,97.96,8.7
0,106.016,1591.25,9.4,3300.05,13.6,0,19.6
-6,106.016,1529.33,9.4,3173.73,13.6,97.96,20.7
-12,106.016,1358.49,9.5,2825.27,13.7,177.03,20.7
-18,106.016,1117.07,9.5,2331.48,13.7,224.73,20.7
-24,106.016,852.51,9.6,1788.38,13.8,238.49,20.7
-30,106.016,605.83,9.8,1279.63,13.9,223.83,20.7
-36,106.016,402.07,9.9,855.99,14,191.35,20.7
-42,106.016,250.53,10.1,539.71,14.1,151.19,20.7
-48,106.016,145.51,10.2,317.09,14.3,111.94,20.7
-54,106.016,80.67,10.4,179.85,14.5,78.3,20.7
-60,106.016,41.14,10.5,96.32,14.5,50.66,20.7
-66,106.016,18.34,10.6,44.31,14.5,31.16,20.9
-72,106.016,8.24,11.1,18.96,15.1,20.44,21.1
-78,106.016,3.98,10.8,9.77,15.8,14.87,20.5
-84,106.016,1.64,9.3,5.33,14.5,12.14,18.7
